Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"75","522349","464826","522333","526401","Baradin Hold","Following the Second War, the ruined fortress of Baradin Hold on the remote island of Tol Barad was converted into a prison for some of the most dangerous forces on Azeroth. Yet with the devastation wrought by the Cataclysm, the prison's integrity has been compromised. Now as the Horde and Alliance vie for supremacy on the island, the liberation of its forgotten horrors may be at hand.","757","0","1","0"
"76","522364","136369","522348","526416","Zul'Gurub","Zul'Gurub was the capital of the Gurubashi jungle trolls, a tribe that once controlled the vast jungles of the south. It was here that Jin'do the Hexxer summoned the savage loa Hakkar the Soulflayer into Azeroth. Of late, these efforts have begun anew amid an alliance between the Gurubashi and Zandalar trolls that seeks to establish a unified troll empire.","859","0","0","0"
"77","522363","136367","522347","526415","Zul'Aman","Echoes of unfulfilled vengeance linger in the one-time capital of the Amani tribe, Zul'Aman. Though the Amani trolls answered their warlord's call to arms, Zul'jin was denied his goal of restoring the empire to its former glory. Where he failed, the Zandalar tribe will succeed. Left unchecked, the united tribes will reclaim their lands and savor a merciless retribution.","568","3508","0","0"
"78","522353","529270","522337","526405","Firelands","The Firelands is the molten domain forged by the titans to house Ragnaros and his wayward minions. Following Deathwing's emergence into Azeroth, Ragnaros and his servants surged onto the slopes of Mount Hyjal before being driven back by the sacred mountain's valiant defenders. Now Ragnaros is rallying his loyalists to defend the Firelands from Azeroth's champions.","720","0","3","0"
"184","571754","575262","571739","571758","End Time","One of an infinite number of potential outcomes, this timeway depicts the desolate future of Azeroth should Deathwing fail to be stopped.  Nozdormu has identified a powerful anomaly that exists in this moment and bars access to the past - and hope of retrieving the Demon Soul. The powerful creature from out of time lives alone amidst the time-twisted echoes of the past.","938","0","0","1"
"185","571756","575266","571741","571760","Well of Eternity","Ten-thousand years in the past, the night elven capital city of Zin-Azshari was a magnificent, sparkling metropolis.  Situated on the shores of the Well of Eternity, it was here that the aristocratic Highborne first opened a portal into the Twisting Nether and invited the Burning Legion to invade Azeroth.  Under the command of the night elven queen, Azshara, they now pour their energies into the portal, preparing it for the terrifying and glorious entrance of the demon god Sargeras.","939","0","0","0"
"186","571755","575264","571740","571759","Hour of Twilight","With the Dragon Soul retrieved from the past, the Heroes of Azeroth now prepare for the final confrontation with Deathwing.  In the frozen wastes of Northrend, the towering spire of Wyrmrest Temple is under the assault of Deathwing's Twilight forces.  In order to save Azeroth, Thrall must arrive safely at the temple with the Dragon Soul in hand.","940","0","0","0"
"187","571753","575261","571738","571757","Dragon Soul","Forged by Deathwing during the War of the Ancients, the Dragon Soul harnessed the combined power of the dragonflights until it was ultimately destroyed. Through the Caverns of Time, Thrall and the remaining dragonflights were able to recover the powerful artifact before its destruction.  Now they have rallied at Wyrmrest Temple in a desperate attempt to use the might of the Dragon Soul against Deathwing himself.","967","0","4","0"
"226","608211","136350","608172","608250","Ragefire Chasm","Ragefire Chasm extends deep below the city of Orgrimmar. Barbaric troggs and devious Searing Blade cultists once plagued the volcanic caves, but now a new threat has emerged: dark shaman. Although Warchief Garrosh Hellscream recently called on a number of shaman to use the elements as weapons against the Alliance, the chasm's current inhabitants appear to be renegades. Reports have surfaced that these shadowy figures are amassing a blistering army that could wreak havoc if unleashed upon Orgrimmar.","389","0","0","0"
"227","608195","136325","608156","608234","Blackfathom Deeps","Once dedicated to the night elves' goddess Elune, Blackfathom Deeps was thought to have been destroyed during the Sundering, lost beneath the ocean. Millennia later, members of the Twilight's Hammer cult were drawn to the temple by whispers and foul dreams. After sacrificing untold numbers of innocents, the cult was rewarded with a new task: to protect one of the Old Gods' most cherished creatures, a pet that is still in need of nurturing before he can unleash his dark powers on the world.","48","0","0","0"
"228","608196","136326","608157","608235","Blackrock Depths","The smoldering Blackrock Depths are home to the Dark Iron dwarves and their emperor, Dagran Thaurissan. Like his predecessors, he serves under the iron rule of Ragnaros the Firelord, a merciless being summoned into the world centuries ago. The presence of chaotic elementals has attracted Twilight's Hammer cultists to the mountain domain. Along with Ragnaros' servants, they have pushed the dwarves toward increasingly destructive ends that could soon spell doom for all of Azeroth.","230","0","0","0"
"229","608197","136327","608158","608236","Lower Blackrock Spire","This imposing fortress, carved into the fiery core of Blackrock Mountain, represented the might of the Dark Iron clan for centuries. More recently, the black dragon Nefarian and his spawn seized the keep's upper spire and ignited a brutal war against the dwarves. The draconic armies have since allied with Warchief Rend Blackhand and his false Horde. This combined force lords over the spire, conducting horrific experiments to bolster its ranks while plotting the meddlesome Dark Irons' downfall.","229","0","0","0"
"230","608200","136333","608161","608239","Dire Maul","Built thousands of years ago to house the kaldorei's arcane secrets, the formerly great city of Eldre'Thalas now lies in ruin, writhing with warped, twisted forces. Competing covens once fought for control of Dire Maul's corrupted energy, but they have since settled into uneasy truces, choosing to exploit the power within their own territories rather than continue to battle over the entire complex.","429","0","0","0"
"231","608202","136336","608163","608241","Gnomeregan","Built deep within the mountains of Dun Morogh, the wondrous city of Gnomeregan was a testament to the gnomes' intelligence and industry. But when the capital was invaded by troggs, the gnomish high tinker was betrayed by his advisor Sicco Thermaplugg. As a result, Gnomeregan was irradiated, and most of its inhabitants slain. The surviving gnomes fled, vowing to return someday and retake their home.","90","0","0","0"
"232","608209","136345","608170","608248","Maraudon","According to legend, Zaetar, son of Cenarius, and the earth elemental princess Theradras begot the barbaric centaur race. Shortly after the centaur's creation, the ruthless creatures murdered their father. The grief-stricken Theradras is said to have trapped her lover's spirit within Maraudon, corrupting the region. Now, vicious centaur ghosts and twisted elemental minions roam every corner of the sprawling caves.","349","0","0","0"
"233","608212","136352","608173","608251","Razorfen Downs","Legends state that where the demigod Agamaggan fell, his blood gave rise to great masses of thorny vines. Recently, scouts have reported seeing undead milling about the region, engendering fears that the dreaded Scourge may be moving to conquer Kalimdor.","129","0","0","0"
"234","608213","136353","608174","608252","Razorfen Kraul","Legends state that where the demigod Agamaggan fell, his blood gave rise to great masses of thorny vines. Many quilboar have taken up residence in the largest cluster of giant thorns, the Razorfen, which they revere as Agamaggan's resting place.","47","0","0","0"
"235","608214","136354","608175","608253","Scarlet Monastery - OLD","PH","189","0","0","0"
"236","608216","136359","608177","608255","Stratholme","Stratholme was once the jewel of northern Lordaeron, but today it is remembered for its harrowing fall to ruin. It was here that Prince Arthas turned his back on the noble paladin Uther Lightbringer, slaughtering countless residents believed to be infected with the horrific plague of undeath. Ever since, cursed Stratholme has been marred by death, betrayal, and hopelessness.","329","0","0","0"
"237","608217","136360","608178","608256","The Temple of Atal'hakkar","Thousands of years ago, the Gurubashi empire was plunged into a civil war by a powerful sect of priests, the Atal'ai, who sought to summon to Azeroth an avatar of their god of blood, Hakkar the Soulflayer. The Gurubashi people exiled the Atal'ai to the Swamp of Sorrows, where the priests built the Temple of Atal'Hakkar. Ysera, Aspect of the green dragonflight, sank the temple beneath the swamp and assigned wardens to ensure that the summoning rituals never be performed again.","109","0","0","0"
"238","608223","136358","608184","608262","The Stockade","Stormwind Stockade is a closely guarded prison built beneath the canals of Stormwind City. Warden Thelwater keeps watch over the stockade and the highly dangerous criminals who call it home. Recently, the inmates revolted, overthrowing their guards and plunging the prison into a state of pandemonium.","34","0","0","0"
"239","608225","136363","608186","608264","Uldaman","Uldaman is an ancient titan vault buried deep within the earth. It is said the titans sealed away a failed experiment there and then moved on to a new project, related to the genesis of the dwarves. Tales of a fabled treasure containing great knowledge have enticed would-be treasure hunters to dig deeper into the secrets of Uldaman, a task made perilous by the presence of stone defenders, savage troggs, Dark Iron invaders, and other dangers lurking in the lost city.","70","0","0","0"
"240","608229","136364","608190","608313","Wailing Caverns","Years ago, the famed druid Naralex and his followers descended into the shadowy Wailing Caverns, named for the mournful cry one hears when steam bursts from the cave system's fissures. Naralex planned to use the underground springs to restore lushness to the arid Barrens. But upon entering the Emerald Dream, he saw his vision of regrowth turn into a waking nightmare, one that has plagued the caverns ever since.","43","0","0","0"
"241","608230","136368","608191","608267","Zul'Farrak","Zul'Farrak was once the shining jewel of Tanaris, ferociously protected by the cunning Sandfury tribe. Despite the trolls' tenacity, this isolated group was forced to surrender much of its territory throughout history. Now, it appears that Zul'Farrak's inhabitants are creating a horrific army of undead trolls to conquer the surrounding region. Other disturbing rumors tell of an ancient creature sleeping within the city--one that, if awakened, will rain death and destruction across Tanaris.","209","0","0","0"
"246","608215","136355","608176","608254","Scholomance","Individuals seeking to master the powers of undeath know well of Scholomance, the infamous school of necromancy located in the dark and foreboding crypts beneath Caer Darrow. In recent years, several of the instructors have changed, but the institution remains under the control of Darkmaster Gandling, a particularly sadistic and insidious practitioner of necromantic magic.","1007","0","0","0"
"247","608193","136323","608154","608232","Auchenai Crypts","The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar.","558","0","0","0"
"248","608207","136338","608168","608246","Hellfire Ramparts","At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars.","543","0","0","0"
"249","608208","136344","608169","608247","Magisters' Terrace","After his defeat in Tempest Keep, Kael'thas Sunstrider publicly revealed his alliance with the ruthless Burning Legion. Intent upon summoning the demon lord Kil'jaeden, Kael'thas has returned to the Isle of Quel'Danas to make the final preparations for his master's arrival.","585","0","0","1"
"250","608193","136323","608154","608232","Mana-Tombs","The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar.","557","0","0","1"
"251","608198","136330","608159","608237","Old Hillsbrad Foothills","Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld.","560","0","0","0"
"252","608193","136323","608154","608232","Sethekk Halls","The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar.","556","0","0","0"
"253","608193","136323","608154","608232","Shadow Labyrinth","The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar.","555","0","0","0"
"254","608218","136362","608179","608257","The Arcatraz","The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye.","552","0","0","1"
"255","608198","136330","608159","608237","The Black Morass","Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld.","269","0","0","1"
"256","608207","136338","608168","608246","The Blood Furnace","At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars.","542","0","0","0"
"257","608218","136362","608179","608257","The Botanica","The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye.","553","0","0","0"
"258","608218","136362","608179","608257","The Mechanar","The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye.","554","0","0","0"
"259","608207","136338","608168","608246","The Shattered Halls","At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars.","540","0","0","1"
"260","608199","136331","608160","608238","The Slave Pens","Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military.","547","0","0","1"
"261","608199","136331","608160","608238","The Steamvault","Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military.","545","0","0","0"
"262","608199","136331","608160","608238","The Underbog","Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military.","546","0","0","0"
"271","608192","237592","608153","608231","Ahn'kahet: The Old Kingdom","Azjol-Nerub was an empire of great strength when the Lich King arrived in Northrend. Despite ferocious resistance, however, Scourge forces managed to overtake the subterranean kingdom and slaughter its inhabitants, the nerubians. Scarred by years of war and abandonment, this vast domain is now occupied on two fronts.","619","0","0","1"
"272","608194","237593","608155","608233","Azjol-Nerub","Azjol-Nerub was an empire of great strength when the Lich King arrived in Northrend. Despite ferocious resistance, however, Scourge forces managed to overtake the subterranean kingdom and slaughter its inhabitants, the nerubians. Scarred by years of war and abandonment, this vast domain is now occupied on two fronts.","601","0","0","0"
"273","608201","237595","608162","608240","Drak'Tharon Keep","Drak'Tharon Keep once served the Drakkari trolls as a formidable outpost at the edge of their kingdom, Zul'Drak, but a recent Scourge invasion has delivered the fortress into the Lich King's hands. The keep's fallen defenders are now the Lich King's undead minions, and they are advancing into the heart of Drakkari territory.","600","0","0","0"
"274","608203","237596","608164","608242","Gundrak","Desperate to save their kingdom from collapse, the trolls of Zul'Drak have turned on their ancient gods. The wild deities are now considered a source of untapped power, their potent blood providing the means to repel the Lich King's minions, who have overtaken parts of the troll nation. Heroes have recently journeyed to the beleaguered region to strike at the savage Drakkari and their maddened prophets.","604","0","0","1"
"275","608204","237598","608165","608243","Halls of Lightning","Upon departing Azeroth, the titans entrusted loyal protectors with safeguarding Ulduar, an enigmatic city nestled in the mountains of the Storm Peaks. Designated supreme among his brethren was the guardian known as Loken, but with the power of the titan complex in his hands, he turned to darkness and plunged the region into chaos.","602","0","0","1"
"276","608205","336389","608166","608244","Halls of Reflection","For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict.","668","0","0","0"
"277","608206","237599","608167","608245","Halls of Stone","Upon departing Azeroth, the titans entrusted loyal protectors with safeguarding Ulduar, an enigmatic city nestled in the mountains of the Storm Peaks. Designated supreme among his brethren was the guardian known as Loken, but with the power of the titan complex in his hands, he turned to darkness and plunged the region into chaos.","599","0","0","0"
"278","608210","336391","608171","608249","Pit of Saron","For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict.","658","0","0","1"
"279","608219","237601","608180","608258","The Culling of Stratholme","Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld.","595","0","0","0"
"280","608220","336392","608181","608259","The Forge of Souls","For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict.","632","0","0","0"
"281","608221","237602","608182","608260","The Nexus","In order to reestablish his dominance over magic, the blue Dragon Aspect, Malygos, has launched a ruthless campaign to sever the link between mortals and the arcane energies coursing through Azeroth. To this end, his blue dragonflight is redirecting the ley lines of the world to the Nexus, Malygos' towering lair.","576","0","0","1"
"282","608222","237603","608183","608261","The Oculus","In order to reestablish his dominance over magic, the blue Dragon Aspect, Malygos, has launched a ruthless campaign to sever the link between mortals and the arcane energies coursing through Azeroth. To this end, his blue dragonflight is redirecting the ley lines of the world to the Nexus, Malygos' towering lair.","578","0","0","0"
"283","608228","237604","608189","608312","The Violet Hold","Among the ornate spires and enchanted streets of Dalaran, a dark presence stirs within the mighty walls of the Violet Hold. Long used to restrain threats to the city, the tower holds row upon row of deadly inmates, and it has been diligently watched over by the Kirin Tor. However, a sudden assault has tested the integrity of the hold, putting at risk the safety of everyone outside the prison's walls.","608","0","0","0"
"284","608224","311220","608185","608263","Trial of the Champion","Clouds blanket the skies of Icecrown and heroes gather beneath battle-worn banners in preparation for the coming storm. They say that even the darkest cloud has a silver lining. It is this hope that drives the men and women of the Argent Crusade: hope that the Light will see them through these trying times, hope that good will triumph over evil, hope that a hero blessed by the Light will come forth to put an end to the Lich King's dark reign.","650","0","0","0"
"285","608226","237605","608187","608265","Utgarde Keep","Utgarde Keep was long thought to be abandoned, a relic of a lost civilization among the central cliffs of the Howling Fjord. Yet in recent days something has roused the fortress' slumbering residents, the vrykul.","574","0","0","0"
"286","608227","237606","608188","608266","Utgarde Pinnacle","Utgarde Keep was long thought to be abandoned, a relic of a lost civilization among the central cliffs of the Howling Fjord. Yet in recent days something has roused the fortress' slumbering residents, the vrykul.","575","0","0","1"
"302","632275","632362","632268","632282","Stormstout Brewery","When Chen Stormstout arrived in the Valley of the Four Winds, he journeyed to the renowned brewery of his namesake, hoping to connect with his relatives. What he found was his ancestral home in disarray. Under the watch of the incompetent Uncle Gao, loathsome virmen and unruly hozen have infiltrated the brewery, sparking a destructive revel that will soon devastate the region's supply of tasty brews.","961","0","0","1"
"303","632270","632357","632263","632277","Gate of the Setting Sun","For generations, a massive wall called the Serpent's Spine has protected the denizens of Pandaria from periodic assaults by the rampaging, insect-like mantid. This brutal race's cycle of aggression recently began earlier than expected, catching the wall's defenders off guard. As the mightiest mantid warriors charge the battle-worn gates, Pandaria must hold back the most devastating army in the land's recorded history.","962","0","0","1"
"311","643262","643268","643259","643265","Scarlet Halls","The Crusade's fiercest warriors, those who have held their ground and fought to defend the monastery throughout these dark times, are rapidly preparing an army within the Scarlet Halls. These soldiers are bound by their hatred of the unliving, and they are willing to sacrifice everything for their order's righteous cause.","1001","0","0","0"
"312","632274","632361","632267","632281","Shado-Pan Monastery","War has spread across Pandaria, and the destructive conflict between the Horde and Alliance has led to turmoil in the majestic Shado-Pan Monastery. There, three malevolent entities--the Sha of Violence, the Sha of Hatred, and the Sha of Anger--have erupted from their prisons. Although the Sha of Anger fled the secluded monastery completely, the remaining sha have begun wreaking havoc on the site's brave Shado-Pan defenders.","959","0","0","1"
"313","632276","632363","632269","632283","Temple of the Jade Serpent","Rising high above the east coast of Pandaria, the Temple of the Jade Serpent stands as a sacred monument to the legendary pandaren emperor Shaohao's victory over the Sha of Doubt thousands of years ago. Recently, a disastrous conflict in the Jade Forest unleashed the sha, and several of the entities  have raided the temple's most treasured stores of wisdom and knowledge.","960","0","0","1"
"316","608214","136354","608175","608253","Scarlet Monastery","The Crusade's fanatical leaders direct their followers from the Scarlet Cathedral, at the heart of the monastery grounds. This heavily guarded location functions as the order's headquarters, and some of the most zealous and intolerant crusaders roam the halls of this once-hallowed place.","1004","0","0","0"
"317","632273","632360","632266","632280","Mogu'shan Vaults","The mogu, proud of their supremacy, kept lengthy records of their accomplishments within a great complex of vaults. The construction of these vast chambers predate any pandaren written records, shrouding their depths in mystery. Rumors once circulated of a mighty army locked within; for this reason, the vaults were the first target of the ancient pandaren rebellion, and they have been sealed ever since the mogu empire was overthrown.","1008","0","2","0"
"320","643264","643270","643261","643267","Terrace of Endless Spring","Hidden high in the mountains, the Terrace of Endless Spring is the sacred center of the Vale of Eternal Blossoms. Its peaceful fountains are said to have the power to heal and rejuvenate, but when the Sha of Fear attacked, many of the complex's guardians turned on each other in fits of terror.","996","0","4","0"
"321","632272","632359","632265","632279","Mogu'shan Palace","The ancient Mogu'shan Palace is the last true bastion of mogu strength on mainland Pandaria. Three of their great clans recently gathered at this stunning location to meet with their king, Xin the Weaponmaster. This mighty ruler has formulated a bold plan to unite his scattered people and reclaim the glory of their fallen empire. With turmoil gripping Pandaria, Xin's lofty dream of conquest could become reality.","994","0","0","1"
"322","652218","1062579","652217","652219","Pandaria","Shrouded in mists since the world was sundered ten thousand years ago, the ancient realm of Pandaria has remained unspoiled by war. Its lush forests and cloud-ringed mountains are home to a complex ecosystem of indigenous races and exotic creatures. It is the homeland of the enigmatic pandaren, a race that celebrates life to the fullest even while under siege by an ancient menace.","996","0","1","2"
"324","643263","643269","643260","643266","Siege of Niuzao Temple","Niuzao Temple extends across two fortified islands far beyond a towering wall called the Serpent's Spine. For years, tenacious pandaren defenders have protected the narrow bridges connecting the isles, staving off any would-be invaders. Yet recently, the mantid created their own bridge--a massive tree root--and seized one of the islands by surprise. Now, these brutal insectoids are poised to assault Niuzao's remaining guardians.","1011","0","0","1"
"330","632271","632358","632264","632278","Heart of Fear","The Sha of Fear has corrupted the grand empress of the mantid. Her increasingly erratic and paranoid commands have driven the Klaxxi--the keepers of mantid culture--to take aggressive action. Because they are few in number, the Klaxxi are reluctantly willing to accept outside help in destroying the empress and purging their race of the sha's negative influence.","1009","0","3","0"
"362","828453","838785","828450","828454","Throne of Thunder","When Pandaria separated from Kalimdor many thousands of years ago, a veil of mist kept outsiders from discovering the newly-formed continent. The mists also hid a reminder of an ancient evil: Lei Shen's Throne of Thunder. During his rule, this fortress was the seat of the Thunder King's power. Even after his death, great swathes of corrupted energy lingered, and now, the resurrected Thunder King and the Zandalari trolls intend to harness that energy to establish the reign of Lei Shen once again.","1098","0","5","0"
"369","904981","904241","904980","904982","Siege of Orgrimmar","The tensions stoked by Garrosh Hellscream's arrogance have reached a boiling point with the destruction unleashed upon the Vale of Eternal Blossoms. Leaders of the Alliance and Horde lay siege to Hellscream's capital in order to topple the ruthless Warchief once and for all!","1136","0","6","0"
"385","1041994","1042059","1041968","1041984","Bloodmaul Slag Mines","On the northern outskirts of Frostfire Ridge, the Bloodmaul ogres run a brutal mining operation amidst the sweltering heat of active volcanic caverns. Slaves from across Draenor are transported to the mines, never to leave alive. The Slag Mines produce abundant yields of gemstones and ore, but it is rumored that the true purpose of these mines is to dig for an ancient relic of immense power.","1175","0","0","0"
"457","1041993","1042058","1041967","1041983","Blackrock Foundry","This foundry was the ancestral home of the Blackrock orcs, wherein master smiths smelted and worked the impossibly hard ore that is the clan's namesake. Now, massive giants captured and broken by the Thunderlord heat the great forges, flamebenders of the Burning Blade imbue the ore with an inner fire, and engineers shape the slag according to otherworldly schematics. Warlord Blackhand's foundry is the center of the Iron Horde's military might, churning out the weaponry that will be used to raze Azeroth.","1205","0","3","0"
"476","1041999","1042064","1041973","1041989","Skyreach","Atop the crowning pinnacle of the Spires of Arak, amidst the clouds, Skyreach stands as the seat of power of the Adherents of Rukhmar. The arakkoa have gathered and harnessed the Apexis technology of their forebears, and now they are ready to unleash the focused power of the sun upon their enemies.","1209","0","0","0"
